,BATTING,Dismissal,R,B,M,4s,6s,SR
0,Devon Conway,b Mohammed Shami,1,6,-,0,0,16.66
1,Ruturaj Gaikwad,c Shubman Gill b Joseph,92,50,-,4,9,184
2,Moeen Ali,c € Saha b Rashid Khan,23,17,-,4,1,135.29
3,Ben Stokes,c € Saha b Rashid Khan,7,6,-,1,0,116.66
4,Ambati Rayudu,b Little,12,12,-,0,1,100
5,Shivam Dube,c Rashid Khan b Mohammed Shami,19,18,-,0,1,105.55
6,Ravindra Jadeja,c Shankar b Joseph,1,2,-,0,0,50
7,MS Dhoni ,not out,14,7,-,1,1,200
8,Mitchell Santner,not out,1,3,-,0,0,33.33
9,Wriddhiman Saha ,c Dube b Hangargekar,25,16,-,2,2,156.25
10,Shubman Gill,c Gaikwad b Deshpande,63,36,-,6,3,175
11,Sai Sudharsan,c € Dhoni b Hangargekar,22,17,-,3,0,129.41
12,Hardik Pandya ,b Jadeja,8,11,-,0,0,72.72
13,Vijay Shankar,c Santner b Hangargekar,27,21,-,2,1,128.57
14,Rahul Tewatia,not out,15,14,-,1,1,107.14
15,Rashid Khan,not out,10,3,-,1,1,333.33
16,Prabhsimran Singh,c € Rahmanullah Gurbaz b Southee,23,12,10,2,2,191.66
17,Shikhar Dhawan ,b Varun,40,29,75,6,0,137.93
18,Bhanuka Rajapaksa,c Singh b Yadav,50,32,47,5,2,156.25
19,Jitesh Sharma ,c Yadav b Southee,21,11,13,1,2,190.9
20,Sikandar Raza,c Rana b Narine,16,13,22,1,1,123.07
21,Sam Curran,not out,26,17,27,0,2,152.94
22,M Shahrukh Khan,not out,11,7,11,2,0,157.14
23,Mandeep Singh,c Curran b Arshdeep Singh,2,4,7,0,0,50
24,Rahmanullah Gurbaz ,b Ellis,22,16,26,3,1,137.5
25,Anukul Roy,c Sikandar Raza b Arshdeep Singh,4,5,5,1,0,80
26,Venkatesh Iyer,c Chahar b Arshdeep Singh,34,28,66,3,1,121.42
27,Nitish Rana ,c Chahar b Sikandar Raza,24,17,23,3,1,141.17
28,Rinku Singh,c Sikandar Raza b Chahar,4,4,5,0,0,100
29,Andre Russell,c Sikandar Raza b Curran,35,19,24,3,2,184.21
30,Shardul Thakur,not out,8,3,8,0,1,266.66
31,Sunil Narine,not out,7,2,4,0,1,350
32,KL Rahul ,c Patel b Sakariya,8,12,21,0,1,66.66
33,Kyle Mayers,b Patel,73,38,53,2,7,192.1
34,Deepak Hooda,c Warner b Kuldeep Yadav,17,18,31,0,0,94.44
35,Krunal Pandya,not out,15,13,51,0,1,115.38
36,Marcus Stoinis,c € Khan b Ahmed,12,10,13,0,1,120
37,Nicholas Pooran ,c Shaw b Ahmed,36,21,24,2,3,171.42
38,Ayush Badoni,c € Khan b Sakariya,18,7,10,1,2,257.14
39,Krishnappa Gowtham,not out,6,1,2,0,1,600
40,Prithvi Shaw,b Wood,12,9,24,2,0,133.33
41,David Warner ,c Gowtham b Avesh Khan,56,48,87,7,0,116.66
42,Mitchell Marsh,b Wood,0,1,2,0,0,0
43,Sarfaraz Khan ,c Gowtham b Wood,4,9,16,1,0,44.44
44,Rilee Rossouw,c Mayers b Ravi Bishnoi,30,20,24,3,1,150
45,Rovman Powell,lbw b Ravi Bishnoi,1,3,11,0,0,33.33
46,Aman Hakim Khan,c € Pooran b Avesh Khan,4,5,11,0,0,80
47,Axar Patel,c sub (PN Mankad) b Wood,16,11,21,1,1,145.45
48,Kuldeep Yadav,not out,6,10,22,0,0,60
49,Chetan Sakariya,c Pandya b Wood,4,4,5,1,0,100
50,Mukesh Kumar,not out,0,1,1,0,0,0
51,Yashasvi Jaiswal,c Agarwal b Fazalhaq Farooqi,54,37,63,9,0,145.94
52,Jos Buttler,b Fazalhaq Farooqi,54,22,32,7,3,245.45
53,Sanju Samson ,c Abhishek Sharma b Natarajan,55,32,66,3,4,171.87
54,Devdutt Padikkal,b Umran Malik,2,5,10,0,0,40
55,Riyan Parag,c Fazalhaq Farooqi b Natarajan,7,6,12,1,0,116.66
56,Shimron Hetmyer,not out,22,16,21,1,1,137.5
57,Ravichandran Ashwin,not out,1,2,9,0,0,50
58,Abhishek Sharma,b Boult,0,3,3,0,0,0
59,Mayank Agarwal,c Buttler b Chahal,27,23,56,3,0,117.39
60,Rahul Tripathi,c Holder b Boult,0,2,6,0,0,0
61,Harry Brook,b Chahal,13,21,28,1,0,61.9
62,Washington Sundar,c Hetmyer b Holder,1,5,10,0,0,20
63,Glenn Phillips ,c Asif b Ashwin,8,6,6,0,1,133.33
64,Abdul Samad,not out,32,32,51,2,1,100
65,Adil Rashid,st € Samson b Chahal,18,13,17,1,1,138.46
66,Bhuvneshwar Kumar ,b Chahal,6,10,20,0,0,60
67,Umran Malik,not out,19,8,12,1,2,237.5
68,Rohit Sharma ,c € Karthik b Akash Deep,1,10,30,0,0,10
69,Ishan Kishan ,c Patel b Mohammed Siraj,10,13,13,2,0,76.92
70,Cameron Green,b Topley,5,4,6,1,0,125
71,Suryakumar Yadav,c Shahbaz Ahmed b Bracewell,15,16,35,1,0,93.75
72,Tilak Varma,not out,84,46,85,9,4,182.6
73,Nehal Wadhera,c Kohli b Sharma,21,13,25,1,2,161.53
74,Tim David,b Sharma,4,7,11,0,0,57.14
75,Hrithik Shokeen,c du Plessis b Patel,5,3,12,1,0,166.66
76,Arshad Khan,not out,15,9,19,0,1,166.66
77,Virat Kohli,not out,82,49,75,6,5,167.34
78,Faf du Plessis ,c David b Arshad Khan,73,43,66,5,6,169.76
79,Dinesh Karthik ,c Tilak Varma b Green,0,3,6,0,0,0
80,Glenn Maxwell,not out,12,3,5,0,2,400
81,Ruturaj Gaikwad,c Wood b Ravi Bishnoi,57,31,55,3,4,183.87
82,Devon Conway,c Pandya b Wood,47,29,62,5,2,162.06
83,Shivam Dube,c Wood b Ravi Bishnoi,27,16,22,1,3,168.75
84,Moeen Ali,st € Pooran b Ravi Bishnoi,19,13,25,3,0,146.15
85,Ben Stokes,c Yash Thakur b Avesh Khan,8,8,16,1,0,100
86,Ambati Rayudu,not out,27,14,26,2,2,192.85
87,Ravindra Jadeja,c Ravi Bishnoi b Wood,3,6,13,0,0,50
88,MS Dhoni ,c Ravi Bishnoi b Wood,12,3,6,0,2,400
89,Mitchell Santner,not out,1,1,2,0,0,100
90,KL Rahul ,c Gaikwad b Ali,20,18,42,2,0,111.11
91,Kyle Mayers,c Conway b Ali,53,22,35,8,2,240.9
92,Deepak Hooda,c Stokes b Santner,2,6,6,0,0,33.33
93,Krunal Pandya,c Jadeja b Ali,9,9,14,0,1,100
94,Marcus Stoinis,b Ali,21,18,26,0,1,116.66
95,Nicholas Pooran ,c Stokes b Deshpande,32,18,28,2,3,177.77
