,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
0,Mohammed Shami,4,0,29,2,7.25,13,2,2,0,1
1,Hardik Pandya,3,0,28,0,9.33,6,2,2,0,0
2,Josh Little,4,0,41,1,10.25,10,4,3,0,0
3,Rashid Khan,4,0,26,2,6.50,10,2,1,0,0
4,Alzarri Joseph,4,0,33,2,8.25,8,0,3,0,0
5,Yash Dayal,1,0,14,0,14.00,2,0,2,0,0
6,Deepak Chahar,4,0,29,0,7.25,9,1,2,0,0
7,Tushar Deshpande,3.2,0,51,1,15.30,5,4,4,1,1
8,Rajvardhan Hangargekar,4,0,36,3,9.00,10,4,1,3,1
9,Mitchell Santner,4,0,32,0,8.00,7,5,0,0,0
10,Ravindra Jadeja,4,0,28,1,7.00,9,1,1,0,0
11,Umesh Yadav,4,0,27,1,6.75,11,2,1,0,0
12,Tim Southee,4,0,54,2,13.50,7,6,3,0,0
13,Sunil Narine,4,0,40,1,10.00,8,3,2,1,0
14,Varun Chakravarthy,4,0,26,1,6.50,10,2,1,1,0
15,Shardul Thakur,4,0,43,0,10.75,7,4,2,0,1
16,Sam Curran,3,0,38,1,12.66,4,3,3,0,0
17,Arshdeep Singh,3,0,19,3,6.33,10,2,1,0,0
18,Nathan Ellis,3,0,27,1,9.00,8,2,1,0,2
19,Sikandar Raza,3,0,25,1,8.33,5,3,0,1,0
20,Rishi Dhawan,1,0,15,0,15.00,2,2,1,0,0
21,Rahul Chahar,2,0,12,1,6.00,5,0,1,0,0
22,Harpreet Brar,1,0,7,0,7.00,3,1,0,0,0
23,Khaleel Ahmed,4,0,30,2,7.50,15,3,2,1,0
24,Mukesh Kumar,4,0,34,0,8.50,5,0,2,1,0
25,Chetan Sakariya,4,0,53,2,13.25,8,1,6,3,0
26,Axar Patel,4,0,38,1,9.50,8,1,3,0,0
27,Kuldeep Yadav,4,0,35,1,8.75,7,0,3,0,0
28,Kyle Mayers,1,0,7,0,7.00,3,1,0,1,0
29,Jaydev Unadkat,3,0,39,0,13.00,3,5,0,2,0
30,Krishnappa Gowtham,4,0,23,0,5.75,9,2,0,1,0
31,Avesh Khan,4,0,29,2,7.25,12,3,1,0,0
32,Mark Wood,4,0,14,5,3.50,17,1,0,1,1
33,Ravi Bishnoi,4,0,31,2,7.75,8,3,1,0,0
34,Bhuvneshwar Kumar,3,0,36,0,12.00,6,4,2,1,0
35,Fazalhaq Farooqi,4,0,41,2,10.25,11,7,0,0,0
36,Washington Sundar,3,0,32,0,10.66,5,1,3,0,0
37,T Natarajan,3,0,23,2,7.66,7,4,0,0,0
38,Adil Rashid,4,0,33,0,8.25,6,1,2,0,0
39,Umran Malik,3,0,32,1,10.66,4,4,1,1,0
40,Trent Boult,4,1,21,2,5.25,15,2,1,0,0
41,KM Asif,3,0,15,0,5.00,9,1,0,1,0
42,Jason Holder,3,0,16,1,5.33,10,1,1,0,0
43,Ravichandran Ashwin,4,0,27,1,6.75,10,1,1,2,0
44,Yuzvendra Chahal,4,0,17,4,4.25,11,0,0,0,0
45,Navdeep Saini,2,0,34,0,17.00,3,3,2,0,3
46,Mohammed Siraj,4,0,21,1,5.25,16,2,0,6,0
47,Reece Topley,2,0,14,1,7.00,7,3,0,0,0
48,Akash Deep,3,0,29,1,9.66,7,2,2,0,0
49,Harshal Patel,4,0,43,1,10.75,6,3,2,1,1
50,Karn Sharma,4,0,32,2,8.00,7,1,2,1,0
51,Michael Bracewell,2,0,16,1,8.00,6,3,0,0,0
52,Glenn Maxwell,1,0,16,0,16.00,0,1,1,1,0
53,Jason Behrendorff,3,0,37,0,12.33,6,3,3,0,0
54,Arshad Khan,2.2,0,28,1,12.00,7,2,2,4,0
55,Jofra Archer,4,0,33,0,8.25,10,2,2,0,0
56,Piyush Chawla,4,0,26,0,6.50,11,2,1,0,0
57,Cameron Green,2,0,30,1,15.00,4,2,3,0,0
58,Hrithik Shokeen,1,0,17,0,17.00,0,0,2,0,0
59,Kyle Mayers,2,0,16,0,8.00,1,1,0,1,0
60,Avesh Khan,3,0,39,1,13.00,4,6,0,1,0
61,Krunal Pandya,2,0,21,0,10.50,4,1,2,0,0
62,Krishnappa Gowtham,1,0,20,0,20.00,2,0,3,0,0
63,Mark Wood,4,0,49,3,12.25,9,3,5,0,0
64,Yash Thakur,4,0,36,0,9.00,4,3,1,0,1
65,Ravi Bishnoi,4,0,28,3,7.00,13,1,2,1,0
66,Deepak Chahar,4,0,55,0,13.75,6,7,1,5,0
67,Ben Stokes,1,0,18,0,18.00,0,2,1,0,0
68,Tushar Deshpande,4,0,45,2,11.25,7,2,2,4,3
69,Moeen Ali,4,0,26,4,6.50,10,0,1,1,0
70,Mitchell Santner,4,0,21,1,5.25,9,0,1,0,0
71,Rajvardhan Hangargekar,2,0,24,0,12.00,4,2,1,3,0
72,Ravindra Jadeja,1,0,14,0,14.00,2,0,2,0,0
73,Mohammed Shami,4,0,41,3,10.25,15,5,1,4,0
74,Josh Little,4,0,27,0,6.75,11,2,1,0,0
75,Hardik Pandya,3,0,18,0,6.00,6,2,0,0,0
76,Alzarri Joseph,4,0,29,2,7.25,13,3,1,1,0
77,Yash Dayal,1,0,12,0,12.00,0,0,1,0,0
78,Rashid Khan,4,0,31,3,7.75,9,2,2,0,0
79,Khaleel Ahmed,4,0,38,1,9.50,9,5,1,1,0
80,Mukesh Kumar,4,0,42,0,10.50,8,5,2,1,0
81,Anrich Nortje,4,0,39,2,9.75,9,3,2,0,2
82,Mitchell Marsh,3.1,0,24,1,7.57,4,1,0,1,0
83,Kuldeep Yadav,3,0,18,0,6.00,5,1,0,1,0
84,Trent Boult,4,0,38,0,9.50,8,3,2,1,0
85,KM Asif,4,0,54,0,13.50,7,5,3,3,1
86,Ravichandran Ashwin,4,0,25,1,6.25,7,2,0,1,0
87,Jason Holder,4,0,29,2,7.25,7,2,1,0,0
88,Yuzvendra Chahal,4,0,50,1,12.50,5,7,1,1,0
89,Sam Curran,4,0,44,0,11.00,7,3,3,0,0
90,Arshdeep Singh,4,0,47,2,11.75,10,4,3,3,0
91,Harpreet Brar,2,0,15,0,7.50,5,2,0,0,0
92,Nathan Ellis,4,0,30,4,7.50,11,2,2,0,0
93,Rahul Chahar,4,0,31,0,7.75,5,1,1,0,0
94,Sikandar Raza,2,0,24,0,12.00,2,1,1,2,0
95,Mohammed Siraj,4,0,44,1,11.00,13,6,1,3,1
96,David Willey,4,1,16,2,4.00,15,2,0,1,0
97,Akash Deep,2,0,30,0,15.00,4,2,2,1,2
98,Michael Bracewell,3,0,34,1,11.33,3,1,3,0,0
99,Shahbaz Ahmed,1,0,6,0,6.00,3,1,0,0,0
100,Karn Sharma,3,0,26,2,8.66,6,2,1,0,0
101,Harshal Patel,3,0,38,1,12.66,5,4,2,1,0
102,Umesh Yadav,2,0,17,0,8.50,5,3,0,0,0
103,Tim Southee,2,0,25,0,12.50,5,2,2,0,0
104,Sunil Narine,4,0,16,2,4.00,12,1,0,0,0
105,Varun Chakravarthy,3.4,0,15,4,4.09,13,2,0,0,0
106,Suyash Sharma,4,0,30,3,7.50,11,2,2,1,0
107,Shardul Thakur,2,0,15,1,7.50,4,2,0,0,0
108,Kyle Mayers,1,0,5,0,5.00,1,0,0,0,0
109,Jaydev Unadkat,3,0,26,0,8.66,9,0,3,1,0
110,Krunal Pandya,4,0,18,3,4.50,15,3,0,0,0
111,Yash Thakur,3,0,23,1,7.66,6,3,0,0,0
112,Ravi Bishnoi,4,0,16,1,4.00,10,0,0,1,0
113,Deepak Hooda,1,0,8,0,8.00,1,1,0,0,0
114,Amit Mishra,4,0,23,2,5.75,10,3,0,0,0
115,Bhuvneshwar Kumar,2,0,19,1,9.50,7,1,1,1,0
116,Washington Sundar,1,0,11,0,11.00,1,2,0,0,0
117,Fazalhaq Farooqi,3,0,13,1,4.33,12,2,0,1,0
118,Aiden Markram,2,0,14,0,7.00,5,2,0,0,0
119,Adil Rashid,3,0,23,2,7.66,8,2,1,0,0
120,T Natarajan,3,0,23,0,7.66,7,1,1,1,0
121,Umran Malik,2,0,22,1,11.00,7,3,0,2,0
122,Khaleel Ahmed,2,0,31,0,15.50,3,6,0,2,0
123,Anrich Nortje,4,0,44,0,11.00,10,6,2,0,0
124,Mukesh Kumar,4,0,36,2,9.00,8,3,2,0,0
125,Axar Patel,4,0,38,0,9.50,6,5,1,0,0
126,Kuldeep Yadav,4,0,31,1,7.75,8,2,1,0,0
127,Rovman Powell,2,0,18,1,9.00,4,1,1,1,1
128,Trent Boult,4,1,29,3,7.25,11,5,0,0,0
129,Sandeep Sharma,4,0,20,1,5.00,11,2,0,1,0
130,Ravichandran Ashwin,4,0,25,2,6.25,10,2,0,3,0
131,Jason Holder,3,0,28,0,9.33,4,4,0,1,0
132,Yuzvendra Chahal,4,0,27,3,6.75,8,2,0,2,0
133,Murugan Ashwin,1,0,11,0,11.00,0,0,0,0,1
134,Deepak Chahar,1,0,10,0,10.00,2,2,0,0,0
135,Tushar Deshpande,3,0,31,2,10.33,9,2,3,1,0
136,Sisanda Magala,4,0,37,1,9.25,4,5,0,0,0
137,Mitchell Santner,4,0,28,2,7.00,6,3,0,0,0
138,Ravindra Jadeja,4,0,20,3,5.00,9,0,1,0,0
139,Dwaine Pretorius,4,0,28,0,7.00,9,3,0,4,0
140,Jason Behrendorff,3,0,24,1,8.00,9,2,1,1,0
141,Arshad Khan,2.1,0,35,0,16.15,2,5,1,3,0
142,Cameron Green,3,0,20,0,6.66,6,0,1,1,0
143,Piyush Chawla,4,0,33,1,8.25,8,5,0,0,0
144,Kumar Kartikeya,4,0,24,1,6.00,6,0,1,0,0
145,Hrithik Shokeen,2,0,19,0,9.50,4,2,1,0,0
146,Umesh Yadav,3,0,24,0,8.00,7,4,0,1,0
147,Shardul Thakur,3,0,40,0,13.33,4,3,3,1,0
148,Lockie Ferguson,4,0,40,0,10.00,8,3,2,1,1
149,Sunil Narine,4,0,33,3,8.25,8,3,1,1,0
150,Varun Chakravarthy,2,0,27,0,13.50,1,2,1,1,0
151,Suyash Sharma,4,0,35,1,8.75,6,3,0,1,0
152,Mohammed Shami,4,0,28,1,7.00,10,2,1,0,0
153,Josh Little,4,0,45,1,11.25,9,4,3,3,0
154,Alzarri Joseph,4,0,27,2,6.75,14,2,2,0,0
155,Yash Dayal,4,0,69,0,17.25,4,3,8,0,0
156,Rashid Khan,4,0,37,3,9.25,6,4,1,0,0
157,Bhuvneshwar Kumar,4,0,33,1,8.25,13,6,0,3,0
158,Marco Jansen,3,1,16,2,5.33,14,2,1,1,0
159,T Natarajan,4,0,40,0,10.00,10,3,3,0,0
160,Washington Sundar,1,0,6,0,6.00,3,1,0,0,0
161,Mayank Markande,4,0,15,4,3.75,15,2,0,0,0
162,Umran Malik,4,0,32,2,8.00,14,3,2,1,0
163,Sam Curran,3,0,14,0,4.66,8,1,0,0,0
164,Arshdeep Singh,3,0,20,1,6.66,10,4,0,0,0
165,Harpreet Brar,3.1,0,26,0,8.21,8,5,0,0,0
166,Nathan Ellis,3,0,28,0,9.33,5,5,0,0,0
167,Rahul Chahar,3,0,28,1,9.33,8,4,1,0,0
168,Mohit Rathee,2,0,29,0,14.50,3,3,2,0,0
169,Jaydev Unadkat,2,0,27,0,13.50,3,2,2,1,0
170,Avesh Khan,4,0,53,0,13.25,8,5,4,0,0
171,Krunal Pandya,4,0,35,0,8.75,5,2,2,0,0
172,Mark Wood,4,1,32,1,8.00,12,1,3,2,0
173,Ravi Bishnoi,4,0,39,0,9.75,5,1,3,1,0
174,Amit Mishra,2,0,18,1,9.00,2,1,1,0,0
175,Mohammed Siraj,4,0,22,3,5.50,16,3,0,4,0
176,David Willey,4,0,32,0,8.00,6,2,1,1,0
177,Wayne Parnell,4,0,41,3,10.25,6,5,1,3,0
178,Harshal Patel,4,0,48,2,12.00,5,4,3,0,0
179,Karn Sharma,3,0,48,1,16.00,5,3,5,1,0
180,Shahbaz Ahmed,1,0,15,0,15.00,1,0,2,0,0
181,Jason Behrendorff,3,0,23,3,7.66,8,1,2,0,0
182,Arshad Khan,1,0,12,0,12.00,1,2,0,1,0
183,Cameron Green,3,0,30,0,10.00,4,5,0,1,0
184,Hrithik Shokeen,4,0,43,1,10.75,10,4,2,1,1
185,Riley Meredith,3.4,0,34,2,9.27,10,5,1,0,1
186,Piyush Chawla,4,0,22,3,5.50,9,2,0,0,0
187,Tilak Varma,1,0,7,0,7.00,3,1,0,1,0
188,Mukesh Kumar,2,0,30,2,15.00,6,3,3,0,0
189,Mustafizur Rahman,4,0,38,1,9.50,11,5,2,0,0
190,Anrich Nortje,4,0,35,0,8.75,8,2,2,0,0
191,Lalit Yadav,4,0,23,0,5.75,10,1,1,1,0
192,Axar Patel,4,0,20,0,5.00,12,2,0,1,0
193,Kuldeep Yadav,2,0,23,0,11.50,2,1,2,0,0
194,Akash Singh,4,0,40,2,10.00,7,2,3,1,0
195,Tushar Deshpande,4,0,37,2,9.25,7,4,1,1,0
196,Maheesh Theekshana,4,0,42,0,10.50,4,5,1,0,0
197,Ravindra Jadeja,4,0,21,2,5.25,11,0,0,3,0
198,Moeen Ali,2,0,21,1,10.50,3,0,2,0,0
199,Sisanda Magala,2,0,14,0,7.00,2,0,0,1,0
200,Sandeep Sharma,3,0,30,1,10.00,6,1,2,2,0
201,Kuldeep Sen,2,0,8,0,4.00,4,0,0,0,0
202,Jason Holder,3,0,37,0,12.33,4,4,2,1,0
203,Adam Zampa,4,0,43,1,10.75,5,4,1,1,0
204,Ravichandran Ashwin,4,0,25,2,6.25,10,1,1,2,0
205,Yuzvendra Chahal,4,0,27,2,6.75,8,2,0,1,0
206,Mohammed Shami,4,0,44,1,11.00,9,7,1,1,0
207,Josh Little,4,0,31,1,7.75,11,3,1,3,0
208,Alzarri Joseph,4,0,32,1,8.00,11,1,2,5,0
209,Rashid Khan,4,0,26,1,6.50,13,3,1,0,0
210,Mohit Sharma,4,0,18,2,4.50,12,2,0,0,0
211,Arshdeep Singh,4,0,33,1,8.25,8,5,0,0,0
212,Kagiso Rabada,4,0,36,1,9.00,11,5,1,0,0
213,Harpreet Brar,4,0,20,1,5.00,8,1,0,0,0
214,Sam Curran,3.5,0,25,1,6.52,7,2,0,0,0
215,Rahul Chahar,3,0,24,0,8.00,4,3,0,0,0
216,Matthew Short,1,0,8,0,8.00,1,1,0,0,0
217,Umesh Yadav,3,0,42,0,14.00,3,3,3,1,0
218,Lockie Ferguson,2,0,37,0,18.50,4,5,1,1,1
219,Sunil Narine,4,0,28,0,7.00,7,1,1,2,0
220,Andre Russell,2.1,0,22,3,10.15,4,2,1,2,0
221,Varun Chakravarthy,4,0,41,1,10.25,4,3,2,1,0
222,Suyash Sharma,4,0,44,0,11.00,8,4,3,0,0
223,Shardul Thakur,0.5,0,14,0,16.80,0,3,0,0,0
224,Bhuvneshwar Kumar,4,1,29,1,7.25,10,4,0,1,0
225,Marco Jansen,4,0,37,2,9.25,12,1,3,4,2
226,T Natarajan,4,0,54,1,13.50,6,6,3,1,0
227,Umran Malik,2,0,36,1,18.00,3,4,3,0,0
228,Mayank Markande,4,0,27,2,6.75,10,2,1,0,0
229,Washington Sundar,2,0,20,0,10.00,2,1,1,0,0
230,Anrich Nortje,4,0,31,0,7.75,9,3,0,2,1
231,Axar Patel,3,0,25,1,8.33,9,0,3,0,0
232,Mustafizur Rahman,3,0,41,0,13.66,2,5,2,0,0
233,Mitchell Marsh,2,0,18,2,9.00,5,2,1,0,0
234,Lalit Yadav,4,0,29,1,7.25,7,0,2,1,0
235,Kuldeep Yadav,4,1,23,2,5.75,10,3,0,0,0
236,Mohammed Siraj,4,0,23,2,5.75,14,4,0,0,0
237,Wayne Parnell,4,0,28,1,7.00,10,3,1,0,0
238,Vijaykumar Vyshak,4,0,20,3,5.00,11,2,0,0,0
239,Shahbaz Ahmed,1,0,11,0,11.00,0,1,0,0,0
240,Wanindu Hasaranga,3,0,37,1,12.33,4,5,1,0,0
241,Harshal Patel,4,0,32,1,8.00,7,3,0,3,0
242,Matthew Short,2,0,10,0,5.00,7,0,1,0,0
243,Arshdeep Singh,3,0,22,1,7.33,7,3,0,1,0
244,Kagiso Rabada,4,0,34,2,8.50,11,2,2,2,0
245,Sam Curran,4,0,31,3,7.75,9,2,1,2,0
246,Harpreet Brar,2,0,10,1,5.00,6,1,0,0,0
247,Sikandar Raza,2,0,19,1,9.50,2,2,0,0,1
248,Rahul Chahar,3,0,28,0,9.33,5,1,2,1,0
249,Yudhvir Singh,3,0,19,2,6.33,11,4,0,0,0
250,Avesh Khan,3,0,24,0,8.00,8,4,0,1,0
251,Mark Wood,4,0,35,2,8.75,10,2,2,2,0
252,Krishnappa Gowtham,4,0,31,1,7.75,10,1,2,1,0
253,Krunal Pandya,3,0,32,1,10.66,6,3,2,0,0
254,Ravi Bishnoi,2.3,0,18,2,7.20,7,2,0,1,0
255,Arjun Tendulkar,2,0,17,0,8.50,6,1,1,1,0
256,Cameron Green,2,0,20,1,10.00,6,1,1,2,0
257,Duan Jansen,4,0,53,1,13.25,6,3,4,4,0
258,Piyush Chawla,4,0,19,1,4.75,10,1,0,0,0
259,Hrithik Shokeen,4,0,34,2,8.50,7,3,1,1,0
260,Riley Meredith,4,0,40,1,10.00,9,3,3,0,0
261,Umesh Yadav,2,0,19,0,9.50,6,1,2,0,0
262,Shardul Thakur,2,0,25,1,12.50,2,3,1,1,0
263,Sunil Narine,3,0,41,0,13.66,4,3,3,1,0
264,Suyash Sharma,4,0,27,2,6.75,11,3,1,0,0
265,Varun Chakravarthy,4,0,38,1,9.50,10,2,3,1,0
266,Lockie Ferguson,1.4,0,19,1,11.40,4,1,2,0,0
267,Andre Russell,1,0,17,0,17.00,1,2,1,0,0
268,Trent Boult,4,0,46,1,11.50,6,4,2,2,0
269,Sandeep Sharma,4,0,25,2,6.25,10,3,0,1,0
270,Adam Zampa,4,0,32,1,8.00,9,2,2,0,0
271,Ravichandran Ashwin,4,0,37,0,9.25,5,4,1,0,0
