,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Titans,Super Kings,Titans,5 wickets,Ahmedabad,"Mar 31, 2023",Twenty20
1,Punjab Kings,KKR,Punjab Kings,7 runs,Mohali,"Apr 1, 2023",Twenty20
2,Super Giants,Capitals,Super Giants,50 runs,Lucknow,"Apr 1, 2023",Twenty20
3,Sunrisers,Royals,Royals,72 runs,Hyderabad,"Apr 2, 2023",Twenty20
4,RCB,Mumbai,RCB,8 wickets,Bengaluru,"Apr 2, 2023",Twenty20
5,Super Kings,Super Giants,Super Kings,12 runs,Chennai,"Apr 3, 2023",Twenty20
6,Capitals,Titans,Titans,6 wickets,Delhi,"Apr 4, 2023",Twenty20
7,Royals,Punjab Kings,Punjab Kings,5 runs,Guwahati,"Apr 5, 2023",Twenty20
8,KKR,RCB,KKR,81 runs,Eden Gardens,"Apr 6, 2023",Twenty20
9,Super Giants,Sunrisers,Super Giants,5 wickets,Lucknow,"Apr 7, 2023",Twenty20
10,Royals,Capitals,Royals,57 runs,Guwahati,"Apr 8, 2023",Twenty20
11,Mumbai,Super Kings,Super Kings,7 wickets,Wankhede,"Apr 8, 2023",Twenty20
12,Titans,KKR,KKR,3 wickets,Ahmedabad,"Apr 9, 2023",Twenty20
13,Sunrisers,Punjab Kings,Sunrisers,8 wickets,Hyderabad,"Apr 9, 2023",Twenty20
14,RCB,Super Giants,Super Giants,1 wicket,Bengaluru,"Apr 10, 2023",Twenty20
15,Capitals,Mumbai,Mumbai,6 wickets,Delhi,"Apr 11, 2023",Twenty20
16,Super Kings,Royals,Royals,3 runs,Chennai,"Apr 12, 2023",Twenty20
17,Punjab Kings,Titans,Titans,6 wickets,Mohali,"Apr 13, 2023",Twenty20
18,KKR,Sunrisers,Sunrisers,23 runs,Eden Gardens,"Apr 14, 2023",Twenty20
19,RCB,Capitals,RCB,23 runs,Bengaluru,"Apr 15, 2023",Twenty20
20,Super Giants,Punjab Kings,Punjab Kings,2 wickets,Lucknow,"Apr 15, 2023",Twenty20
21,Mumbai,KKR,Mumbai,5 wickets,Wankhede,"Apr 16, 2023",Twenty20
22,Titans,Royals,Royals,3 wickets,Ahmedabad,"Apr 16, 2023",Twenty20
23,RCB,Super Kings,Super Kings,8 runs,Bengaluru,"Apr 17, 2023",Twenty20
24,Sunrisers,Mumbai,Mumbai,14 runs,Hyderabad,"Apr 18, 2023",Twenty20
25,Royals,Super Giants,Super Giants,10 runs,Jaipur,"Apr 19, 2023",Twenty20
26,Punjab Kings,RCB,RCB,24 runs,Mohali,"Apr 20, 2023",Twenty20
27,Capitals,KKR,Capitals,4 wickets,Delhi,"Apr 20, 2023",Twenty20
28,Super Kings,Sunrisers,Super Kings,7 wickets,Chennai,"Apr 21, 2023",Twenty20
29,Super Giants,Titans,Titans,7 runs,Lucknow,"Apr 22, 2023",Twenty20
30,Mumbai,Punjab Kings,Punjab Kings,13 runs,Wankhede,"Apr 22, 2023",Twenty20
31,RCB,Royals,RCB,7 runs,Bengaluru,"Apr 23, 2023",Twenty20
32,KKR,Super Kings,Super Kings,49 runs,Eden Gardens,"Apr 23, 2023",Twenty20
33,Sunrisers,Capitals,Capitals,7 runs,Hyderabad,"Apr 24, 2023",Twenty20
34,Titans,Mumbai,Titans,55 runs,Ahmedabad,"Apr 25, 2023",Twenty20
35,RCB,KKR,KKR,21 runs,Bengaluru,"Apr 26, 2023",Twenty20
36,Royals,Super Kings,Royals,32 runs,Jaipur,"Apr 27, 2023",Twenty20
37,Punjab Kings,Super Giants,Super Giants,56 runs,Mohali,"Apr 28, 2023",Twenty20
38,KKR,Titans,Titans,7 wickets,Eden Gardens,"Apr 29, 2023",Twenty20
39,Capitals,Sunrisers,Sunrisers,9 runs,Delhi,"Apr 29, 2023",Twenty20
40,Super Kings,Punjab Kings,Punjab Kings,4 wickets,Chennai,"Apr 30, 2023",Twenty20
